English,Chinese,Vietnamese
Voice Clip,语音片段,Đoạn ghi âm
Photo Album,相册,Album Ảnh
Photo Creation Date,照片创建日期,Ngày Tạo Ảnh
Critical Level,严重等级,Mức độ Nghiêm trọng
Add comment,新增备注,Thêm bình luận
Comment,备注,Bình luận
View comment,查看备注,Xem bình luận
Enter comments here,请输入备注,Nhập bình luận tại đây
Save,保存,Lưu
Cancel,取消,Hủy
Rotate image,旋转图片,Xoay ảnh
Completed,完成,Hoàn thành
{} on {},{} 于 {},{} trên {}
Session Expired,会话已过期,Phiên làm việc đã hết hạn
Item,产品,Mặt hàng
Sample Tracker,样品追踪,Theo dõi mẫu
Sample Evaluation,样品评估,Đánh giá mẫu
Image,图片,Hình ảnh
Attachment,附件,Đính kèm
Measurement,测量,Đo lường
Checklist Summary,检查清单总结,Tóm tắt danh sách kiểm tra
Label,标签,Nhãn
Total Count,总计数,Tổng số lượng
No.,编号,Số
Item No,产品编号,Mã mặt hàng
Order Quantity,订单数量,Số lượng đặt hàng
Actual Quantity,实际数量,Số lượng thực tế
Are you sure to log out?,您确定要退出登录吗？,Bạn có chắc chắn muốn đăng xuất không?
All local setting will be wiped out. While the data will be kept until you uninstall the app or clear the data from system setting.,所有本地设置将被清除。但数据将保留，至您卸载应用或从系统设置中清除数据。,Mọi cài đặt cục bộ sẽ bị xóa. Dữ liệu sẽ được lưu giữ cho đến khi bạn gỡ cài đặt ứng dụng hoặc xóa dữ liệu khỏi cài đặt hệ thống.
No.,编号,Số lượng
Item No,产品编号,Mã mặt hàng
Item Name,产品名称,Tên mặt hàng
Order Quantity,产品名称,Số lượng đặt hàng
Actual Quantity,实际数量,Số lượng thực tế
Customer Product No.,客户产品编号,Mã sản phẩm của khách hàng
Keycode/ Style No.,关键码 / 款号,Mã chính / Mã kiểu dáng
Calculated Sample Size,计算样本量,Cỡ mẫu đã tính toán
Calculated Carton Sample Size,计算纸箱抽样量,Cỡ mẫu thùng carton đã tính toán
Point of Meas.,测量点,Điểm đo
Std. Meas.,标准测量值,Số đo tiêu chuẩn
Color,颜色,Màu sắc
Create sample,创建样品,Tạo mẫu
Create %s sample(s),创建 %s 个样品,Tạo %s mẫu
Tol. (+/-),公差（+/-）,Dung sai (+/-)
Delete Test Item,删除测试产品,Xóa mặt hàng thử nghiệm
Are you sure to delete this item? This action cannot be undone.,您确定要删除此产品吗？此操作不可撤销。,Bạn có chắc chắn muốn xóa mặt hàng này không? Hành động này không thể hoàn tác.
Create,创建,Tạo
Add New,新增,Thêm Mới
Create New Items,新建产品,Tạo mặt hàng mới
Enter the name of the test item,请输入测试产品名称,Nhập tên mặt hàng kiểm tra
UOM,计量单位（UOM）,Đơn vị tính
Measurement Summary,测量总结,Bảng tổng hợp số đo
Size,尺码,Kích thước
Size:,尺码:,Kích thước:
Style/ Color,款式 / 颜色,Kiểu/Màu sắc
Measured,已测量,Đã đo
Failed,不合格,Không đạt
Total Qty,总数,Tổng số lượng
Preview,预览,Xem trước
SAVE / EXPORT,保存 / 导出,LƯU / XUẤT
SIGN REPORT,签署报告,KÝ BÁO CÁO
Preview Report,预览报告,Xem trước Báo cáo
INSPECTION REPORT,检验报告,BÁO CÁO KIỂM TRA
Printed,已打印,Đã in
Date,日期,Ngày
General Information,基本信息,Thông tin Chung
Site Information,现场信息,Thông tin Địa điểm
Vendor Information,供应商信息,Thông tin Nhà cung cấp
Customer Information,客户信息,Thông tin Khách hàng
Audit Sampling Info,审核抽样信息,Thông tin lấy mẫu kiểm toán
Headline,标题,Tiêu đề
Contact Details,联系方式,Thông tin Liên hệ
Inspection Booking No.,检验预约编号,Số Đặt lịch Kiểm tra
Inspection Type,检验类型,Loại Kiểm tra
Actual Quantity,实际数量,Số lượng thực tế
Sample Quantity,样本数量,Số lượng Mẫu
Inspection Format,检验格式,Định dạng Kiểm tra
Inspection Report Template,检验报告模板,Mẫu Báo cáo Kiểm tra
Shipment Date,货运日期,Ngày Giao hàng
Failed Reason,失败原因,Lý do Không đạt
Appearance,外观,Hình thức bên ngoài
Packing & Packaging,装箱与包装,Đóng gói & Bao bì
Measurement & On-Site Test,测量与现场测试,Đo lường & Kiểm tra tại chỗ
Attachments,附件,Tệp đính kèm
Test Item,测试产品,Mặt hàng kiểm tra
Seq.,序号,Seq.
Â©www.tradebeyond.com. All rights reserved,Â© www.tradebeyond.com  版权所有,©www.tradebeyond.com. Bảo lưu mọi quyền
Outdated,过期,Đã lỗi thời
Select Defect Code,选择缺陷代码,Chọn Mã lỗi
Change Type,更改类型,Thay đổi loại
Change Template,更改模板,Thay đổi Mẫu
Delete Booking,删除预约,Xóa lịch đặt
Are you sure to delete this booking and related report(s)? This action cannot be undone.,您确定要删除此预约及相关报告吗？此操作不可撤销。,Bạn có chắc chắn muốn xóa lịch đặt này và (các) báo cáo liên quan không? Hành động này không thể hoàn tác.
Details,详情,Chi tiết
no token,无令牌,Không có token
Sync History List,同步历史列表,Danh sách Lịch sử Đồng bộ
Sync Details,同步详情,Chi tiết Đồng bộ
Basic info,基本信息,Thông tin cơ bản
Booking Summary,预约总结,Tóm tắt lịch đặt
Booking's Download Status,预约下载状态,Trạng thái tải xuống của lịch đặt
Report Summary,报告总结,Số lịch đặt đã tải xuống
Report Upload Status,报告上传状态,Số lịch đặt không tải xuống được
Sync Start Date Time,同步开始时间,Lịch đặt của tôi
Sync End Date Time,同步结束时间,Số lịch đặt
No. of Booking Downloaded,已下载预约数量,Số lịch đặt đã tải xuống
No. of Booking Failed to download,下载失败预约数量,Số lịch đặt không tải xuống được
No. of Report Uploaded,已上传报告数量,"Lịch đặt này đã cũ, bạn có muốn chỉnh sửa báo cáo không?"
No. of Report Not Uploaded,未上传报告数量,Số báo cáo chưa tải lên
No. of Report Failed to Upload,上传失败报告数量,Số báo cáo không tải lên được
Server (Environment information),服务器（环境信息）,Máy chủ (Thông tin Môi trường)
User,用户,Người dùng
Start Time,开始时间,Thời gian Bắt đầu
End Time,结束时间,Thời gian Kết thúc
My Bookings,我的预约,Lịch đặt của tôi
Success Download,下载成功,Tải xuống thành công
Failed Download,下载失败,Tải xuống không thành công
Reports Ready to Upload,待上传报告,Báo cáo sẵn sàng tải lên
Reports that will not be Uploaded,不上传报告,Báo cáo không được tải lên
Success Upload,上传成功,Tải lên thành công
Failed Upload,上传失败,Tải lên không thành công
Booking No.,检验预约编号,Số lịch đặt
Version,版本,Phiên bản
Report No.,报告编号,Số báo cáo
Status,状态,Trạng thái
Success,成功,Thành công
Failed,失败,Không thành công
Booking date range,预约日期范围,Khoảng thời gian đặt lịch
Document saved successfully,文档保存成功,Tài liệu đã được lưu thành công
Warning,警告,Cảnh báo
"You have turned off mobile data and Wi-Fi, please switch them on and login again",您已关闭移动数据和Wi-Fi，请重新开启并登录,"Bạn đã tắt dữ liệu di động và Wi-Fi, vui lòng bật lại và đăng nhập lại"
Reminder,提醒,Nhắc nhở
No internet connection.,无网络连接,Không có kết nối internet.
"This booking is outdated, do you want to create a report?",此预约已过期，是否要创建报告？,"Lịch đặt này đã cũ, bạn có muốn tạo báo cáo không?"
Old Version of Booking,旧版本预约,Phiên bản cũ của lịch đặt
"This booking is outdated, do you want to edit the report?",此预约已过期，是否要编辑报告？,"Lịch đặt này đã cũ, bạn có muốn chỉnh sửa báo cáo không?"
"Outdated version, click here to latest version",版本已过期，点击此处获取最新版本,"Phiên bản cũ, nhấp vào đây để xem phiên bản mới nhất"
"Outdated, no longer able to create / amend report",已过期，无法再创建 / 修改报告,"Đã lỗi thời, không thể tạo/sửa báo cáo nữa"
Front,前面,Mặt trước
Back,背面,Mặt sau
Edit,编辑,Chỉnh sửa
Critical,严重,Nghiêm trọng
Major,主要,Lớn
Minor,次要,Nhỏ
Reset,重置,Đặt lại
Create Sample,创建样品,Tạo mẫu
New samples will be created as below:,将按以下方式创建新样品：,Mẫu mới sẽ được tạo như sau:
Reset Sample Size,重置样本量,Đặt lại kích cỡ mẫu
Existing measurement records will be cleared after resetting.,重置后将清除现有测量记录。,Các bản ghi đo lường hiện có sẽ bị xóa sau khi đặt lại.
Reset Actual,重置实际值,Đặt lại thực tế
Empty List,空列表,Danh sách trống
Next,下一步,Tiếp theo
Cannot login with SSO accounts,无法使用SSO账号登录,Không thể đăng nhập bằng tài khoản SSO
Sampling Details,抽样详情,Chi tiết mẫu
Sample Size Breakdown,样本量分析,Phân tích Kích thước mẫu
Color / Size,颜色 / 尺码,Màu sắc / Kích thước
Close,关闭,Đóng
Biometric login,生物识别登录,Đăng nhập sinh trắc học
Enabling biometric login will give you faster access to your information.,启用生物识别登录将加快访问速度。,Bật đăng nhập sinh trắc học sẽ giúp bạn truy cập thông tin nhanh hơn.
You can turn this feature on or off at any time under Settings.,您可随时在设置中开启或关闭此功能。,Bạn có thể bật hoặc tắt tính năng này bất kỳ lúc nào trong phần Cài đặt.
Not Now,暂不启用,Không phải bây giờ
Enable,启用,Bật
Biometric setup is completed. You can change it on the Settings page.,生物识别设置成功，可在设置中更改。,Thiết lập sinh trắc học đã hoàn tất. Bạn có thể thay đổi trên trang Cài đặt.
Biometric setup is failed. Please try again.,生物识别设置失败，请重试。,Thiết lập sinh trắc học không thành công. Vui lòng thử lại.
Incomplete Fields,未完成字段,Các trường chưa hoàn tất
Please fill in the mandatory field(s).,请填写必填字段。,Vui lòng điền vào các trường bắt buộc.
Measured Quantity,已测试数量,Số lượng đã đo
Failed Quantity,不合格数量,Số lượng không thành công
Checklist Details,检查清单详情,Chi tiết danh sách kiểm tra
Requirements,要求,Yêu cầu
Point of Measure,测量点,Điểm đo
Standard Tol(+/-) Measure,标准公差（+/-）测量,Dung sai tiêu chuẩn (+/-)
Measurement Details,测量详情,Chi tiết số đo
"Showing {} Samples,Total {} Samples",显示 {} 个样品，总计 {} 个样品,"Hiển thị {} mẫu, Tổng {} mẫu"
Settings,设置,Cài đặt
Account,账户,Tài khoản
Keep Data Period,数据保留期限,Khoảng thời gian lưu dữ liệu
Sync History,同步历史,Lịch sử Đồng bộ
Report,报告,Báo cáo
Information,信息,Thông tin
APP Version,应用版本,Phiên bản Ứng dụng
Logout,退出登录,Đăng xuất
NO LIMIT,无限制,KHÔNG GIỚI HẠN
DAY,日,NGÀY
WEEK,周,TUẦN
MONTH,月,THÁNG
YEAR,年,NĂM
{num} {unit} ,{数字} {单位},{num} {unit}
Open,打开,Mở
Show Irrelevant Defects,显示不相关缺陷,Hiển thị lỗi không liên quan
Show Notes / Instructions on booking card,在预约卡片上显示备注 / 说明,Hiển thị hướng dẫn / ghi chú trên thẻ lịch đặt
Update Environment,更新环境,Cập nhật Môi trường
"After updating the environment, the current biometric setting will be cleared, you have to setup the biometric login again. Are you sure to update environment?",更新环境后，当前生物识别设置将被清除，您需要重新设置生物识别登录。是否确认更新？,"Sau khi cập nhật môi trường, cài đặt sinh trắc học hiện tại sẽ bị xóa, bạn phải thiết lập lại đăng nhập sinh trắc học. Bạn có chắc chắn muốn cập nhật môi trường không?"
Change Username/ Password,更改用户名 / 密码,Thay đổi Tên người dùng/Mật khẩu
"After changing the username or password, the current biometric setting will be cleared, you have to setup the biometric login again. Are you sure to change username or password?",更改用户名或密码后，当前生物识别设置将被清除，您需要重新设置生物识别登录。是否确认更改？,"Sau khi thay đổi tên người dùng hoặc mật khẩu, thiết lập sinh trắc học hiện tại sẽ bị xóa, bạn phải thiết lập lại đăng nhập sinh trắc học. Bạn có chắc chắn muốn thay đổi tên người dùng hoặc mật khẩu không?"
Change,更改,Thay đổi
"When items in Defect Details do not have any defects/ attachments/ comments, they will be hidden on the Preview page and will not upload to the web.",当产品缺陷详情中无任何缺陷 / 附件 / 备注时，将在预览页面隐藏，并不会上传至网站,"Khi các mục trong Chi tiết Lỗi không có bất kỳ lỗi/tệp đính kèm/bình luận nào, chúng sẽ bị ẩn trên trang Xem trước và sẽ không được tải lên web."
"When turn on, the ""Notes / Instructions"" value in booking will be shown on Booking Card.",开启/启用后，预约中的“备注 / 说明”将显示在预约卡片上。,"Khi bật, giá trị ""Ghi chú/Hướng dẫn"" trong đặt lịch sẽ được hiển thị trên thẻ đặt lịch."
No Booking,无预约,Không có lịch đặt
No Report,无报告,Không có báo cáo
"Download bookings by clicking on ""Sync"" or clear the filter",请点击“同步”下载预约或清除筛选,"Tải lịch đặt bằng cách nhấp vào ""Đồng bộ hóa"" hoặc xóa bộ lọc"
No Internet,无网络,Đánh giá tổng thể
Observations,观察项,Quan sát
Date,日期,Ngày
Report is signed,报告已签署,Báo cáo đã được ký
Editing this report will clear the signatures and change the status to â€œIn progressâ€. Continue?,编辑此报告将清除签名并将状态更改为“进行中”。是否继续？,"Việc chỉnh sửa báo cáo này sẽ xóa chữ ký và chuyển trạng thái thành ""Đang xử lý"". Tiếp tục?"
Severity,严重程度,Mức độ nghiêm trọng
Status Score,状态评分,Điểm trạng thái
Max Score,最高分,Điểm tối đa
% of Score,评分百分比,Phần trăm điểm số
Scoring (%),评分（%）,Điểm số (%)
Status Score(Total),状态评分（总计）,Điểm trạng thái (Tổng)
Maximum Score (Total),最高评分（总计）,Điểm tối đa (Tổng)
Overall Score (%),总体评分（%）,Điểm tổng thể (%)
Overall Rating,总体评级,Đánh giá tổng thể
Overall Rating not available,未获得总体评级,-
Where to find the QR?,二维码位置,Tìm mã QR ở đâu?
Where to find the QR,二维码位置,Tìm mã QR ở đâu
"The QR should be provided by your company technical team.

And its purpose is to allow your Inspector app to connect to your company system accordingly.","二维码应由贵公司技术团队提供。

其目的是让检验员应用能够相应地连接到贵公司系统。","Mã QR phải do đội ngũ kỹ thuật của công ty bạn cung cấp.

Và mục đích của mã này là cho phép ứng dụng Inspector của bạn kết nối với hệ thống của công ty."
OR,或,HOẶC
Add new item,新增产品,Thêm mặt hàng mới
Items,产品,Mặt hàng
Report Preview,报告预览,Xem trước báo cáo
Default Empty Defect Details,缺陷详情为空（默认）,Chi tiết lỗi mặc định để trống
Upload Files,上传文件,Tải tệp lên
Cancel re-login,取消重新登录,Hủy đăng nhập lại
Share File,共享文件,Chia sẻ tệp
Colorway/Option,配色 / 选项,Màu sắc / Phiên bản
Location Permission Required,位置权限请求,Cần cấp quyền định vị
"To ensure accurate audit and track record, we kindly request you to grant location permission. 
Please go to your device's settings and enable location services for a seamless quality check process.",为确保准确的审核与追踪记录，请授予位置权限。请前往设备设置并启用定位服务，以保证质检过程顺畅。,"Để đảm bảo việc kiểm tra và theo dõi chính xác, chúng tôi đề nghị bạn cấp quyền định vị.

Vui lòng vào cài đặt của thiết bị và bật dịch vụ định vị để quá trình kiểm tra chất lượng diễn ra suôn sẻ."
Location service Required,位置服务请求,Cần cấp quyền định vị
"To ensure accurate audit and track record, we kindly request you to turn on location service. 
Please go to your device's settings and enable location services for a seamless quality check process.",为确保准确的审核与追踪记录，请授予位置权限。请前往设备设置并启用定位服务，以保证质检过程顺畅。,"Để đảm bảo việc kiểm tra và theo dõi chính xác, chúng tôi đề nghị bạn bật dịch vụ định vị.

Vui lòng vào cài đặt của thiết bị và bật dịch vụ định vị để quá trình kiểm tra chất lượng diễn ra suôn sẻ."
This booking is not the latest version. Would you like to create or edit the report?,此预约不是最新版本，是否创建或编辑报告？,Lịch đặt này không phải là phiên bản mới nhất. Bạn có muốn tạo hoặc chỉnh sửa báo cáo không?
Planned Inspection Date Has Passed,计划检验日期已过,Ngày kiểm tra dự kiến ​​đã qua
The planned inspection date for this booking has passed. Would you like to create or edit the report?,计划检验日期已过，是否创建或编辑报告？,Ngày kiểm tra dự kiến ​​cho lần đặt lịch này đã qua. Bạn có muốn tạo hoặc chỉnh sửa báo cáo không?
"When the defect details report is empty, you have to add the test items that are defined in the report template or create new test items to it.",当缺陷详情为空时，您需在报告模板中添加定义的测试产品或新建测试产品。,"Khi báo cáo chi tiết lỗi trống, bạn phải thêm các mục kiểm tra được xác định trong mẫu báo cáo hoặc tạo các mục kiểm tra mới vào đó."
Camera Permission Denied,相机权限被拒绝,Quyền truy cập máy ảnh bị từ chối
"You have blocked camera access. To scan QR code, please go to Settings to enable it.",您已禁用相机访问。若需扫描二维码，请前往设置中启用。,"Bạn đã chặn quyền truy cập máy ảnh. Để quét mã QR, vui lòng vào Cài đặt để bật."
Enable the permission in the Settings to take photos.,请在设置中启用权限以拍照。,Bật quyền chụp ảnh trong Cài đặt.
Album Permission Denied,相册权限被拒绝,Quyền truy cập album bị từ chối
Enable the permission in the Settings to upload photos.,请在设置中启用权限以上传照片。,Bật quyền tải ảnh lên trong Cài đặt.
Microphone Permission Denied,麦克风权限被拒绝,Quyền truy cập micrô bị từ chối
Enable the permission in the Settings to record voice.,请在设置中启用权限以录音。,Bật quyền ghi âm giọng nói trong Cài đặt.
No GPS Coord.,无GPS坐标,Không có tọa độ GPS.
Image,图片,Hình ảnh
Attachment Quality,附件质量,Chất lượng tệp đính kèm
Standard,标准,Tiêu chuẩn
"High (Slower, more data)",高质量（较慢，更多数据）,"Cao (Chậm hơn, nhiều dữ liệu hơn)"
Original (No change),原始（无压缩）,Bản gốc (Không thay đổi)
Details,详情,Chi tiết
 ...more,更多......,...thêm
Upload File,上传文件,Tải tệp lên
Signed Location,签名位置,Vị trí đã ký
Your Account has been Blocked,您的账户已被锁定,Tài khoản của bạn đã bị chặn
You have reached the maximum number of invalid sign-in attempts. Please update your password on CBX server to unblock account.,因多次登录失败，您的账户已被锁定。请在CBX服务器更新密码以解锁。,Bạn đã đạt đến số lần đăng nhập không hợp lệ tối đa. Vui lòng cập nhật mật khẩu trên máy chủ CBX để bỏ chặn tài khoản.
This feature helps to speed up the upload time and reduce data consumption. The attachments will be compressed upon creation.,此功能可加快上传速度并减少数据使用量，附件将在创建时压缩。,Tính năng này giúp tăng tốc thời gian tải lên và giảm mức tiêu thụ dữ liệu. Tệp đính kèm sẽ được nén khi tạo.
Inspection,检验,Kiểm tra
Product Inspection Bookings & Reports,产品检验预约与报告,Đặt lịch & Báo cáo Kiểm tra Sản phẩm
Audit,审核,Kiểm toán
Factory Audits & Reports,工厂审核与报告,Kiểm toán & Báo cáo Nhà máy
Back to Login,返回登录,Quay lại Đăng nhập
Select Your Role,选择角色,Chọn Vai trò của bạn
Audits,审核,Kiểm toán
No Audits,无审核,Không có Kiểm toán
Download audits by clicking on â€œSyncâ€ or clear the filter,请点击“同步”下载审核或清除筛选,"Tải xuống bản kiểm toán bằng cách nhấp vào ""Đồng bộ hóa"" hoặc xóa bộ lọc"
Delete Audit,删除审核,Xóa bản kiểm toán
Are you sure to delete this audit and related report(s)? This action cannot be undone.,您确定要删除此审核及相关报告吗？此操作不可撤销。,Bạn có chắc chắn muốn xóa bản kiểm toán này và (các) báo cáo liên quan không? Hành động này không thể hoàn tác.
Details,详情,Chi tiết
Details - 2,详情-2,Chi tiết - 2
Details - 3,详情-3,Chi tiết - 3
Details - 4,详情-4,Chi tiết - 4
Details - 5,详情-5,Chi tiết - 5
Last Updated: ,最后更新：,Cập nhật lần cuối:
Report No.,报告编号,Số báo cáo
Audit Type,审核类型,Loại kiểm toán
Auditor,审核员,Kiểm toán viên
Partner Name,合作伙伴名称,Tên đối tác
Facility Address,设施地址,Địa chỉ cơ sở
Contact Number,联系电话,Số điện thoại liên hệ
Contact Email,联系邮箱,Email liên hệ
Status Score (Total),状态评分（总分）,Điểm Trạng thái (Tổng)
Maximum Score (Total),最高评分（总分）,Điểm Tối đa (Tổng)
Overall Score (%),总体评分（%）,Điểm Tổng thể (%)
Overall Rating,总体评级,Đánh giá Tổng thể
Audit Result,审核结果,Kết quả Kiểm toán
Zero Tolerance Failure,零缺陷,Lỗi nghiêm trọng – không chấp nhận
